term,subject,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),02A,2947,Spring_2026|BIOL 205|02A|2947,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,,MLSC-130,Taylor T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),03A,1079,Spring_2026|BIOL 205|03A|1079,FALSE,\N,"12,27",LAB,Tu,5-7:45PM,,MLSC-130,Pina K,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),04A,1078,Spring_2026|BIOL 205|04A|1078,FALSE,\N,"12,27",LAB,W,9-11:45AM,available,MLSC-130,Wurst T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),05A,1081,Spring_2026|BIOL 205|05A|1081,FALSE,\N,"12,27",LAB,W,1-3:45PM,,MLSC-130,Pina K,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205,BIOL 205,HUMAN BIOLOGY,4,GE: 5B-WL (B2/B3),06A,1080,Spring_2026|BIOL 205|06A|1080,FALSE,\N,"12,27",LAB,Th,9-11:45AM,available,MLSC-130,Taylor T,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,205L,BIOL 205L,HUMAN BIOLOGY LABORATORY,1,GE: 5C/5B (B3/B2),01,6625,Spring_2026|BIOL 205L|01|6625,FALSE,\N,"1,12,27,280",LAB,Th,9-11:45AM,available,MLSC-130,Taylor T,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),01A,6956,Spring_2026|BIOL 207|01A|6956,FALSE,\N,"1,6,27",LEC,MW,2-3:15PM,available,LH-151,Amaya M,"Class instruction is: Face to Face - On Campus.Seats are reserved for majors that require this course. Reserved seating expires December 1, 2025.Optional Supplemental Instruction course available:SI 60, SECTION #03, CLASS #2897, MW 12:30PM-1:45PM; OR SI 60, SECTION #04, CLASS #2898, MW 3:30PM-4:45PM"
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),03A,1083,Spring_2026|BIOL 207|03A|1083,FALSE,\N,"12,27",LAB,Tu,9-11:45AM,,MLSC-129,Lertpanit L,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),04A,1086,Spring_2026|BIOL 207|04A|1086,FALSE,\N,"12,27",LAB,Tu,5-7:45PM,,MLSC-129,Aguilar A,Class instruction is: Face to Face - On Campus.
Spring_2026,BIOL,207,BIOL 207,HUMAN PHYSIOLOGY,4,GE: 5B-WL (B2/B3),05A,2948,Spring_2026|BIOL 207|05A|2948,FALSE,\N,"12,27",LAB,W,5-7:45PM,,MLSC-133,Wurst T,Class instruction is: Face to Face - On Campus.
