term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,02,\N,Spring_2026|KIN 478|02|NOCLASS|bcbc132d60b76182,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Watkins D,additional meeting detail
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,03,12421,Spring_2026|KIN 478|03|12421,FALSE,\N,307,SEM,W,9:30-10:45AM,,KIN-051A,Watkins D,"Class instruction is: Hybrid(Face to Face & Async).Some seats are reserved of exercise science graduating seniors and SPL graduating seniors. Reserve cap will expire Friday, 11/21."
Spring_2026,KIN,478,KIN 478,PSYCH ASPECTS EXERCISE FITNESS,3,,03,\N,Spring_2026|KIN 478|03|NOCLASS|22f8afdc26234110,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,KIN,483,KIN 483,STATISTICS IN HUMAN MOVEMENT,3,,01,2621,Spring_2026|KIN 483|01|2621,FALSE,\N,"305,7,27",LEC,NA,NA,,ONLINE-ONLY,Scott K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,483,KIN 483,STATISTICS IN HUMAN MOVEMENT,3,,02,2622,Spring_2026|KIN 483|02|2622,FALSE,\N,"305,7,27",ACT,NA,NA,,ONLINE-ONLY,Scott K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,487,KIN 487,SUPERVISD ACTIVITY INSTRUC EXP,3,,01,7023,Spring_2026|KIN 487|01|7023,FALSE,\N,,SUP,TBA,NA,available,KIN-088,Alencar M,"Instructor Consent RequiredClass instruction is: Face to Face - On Campus.Supervision class, meeting times TBA"
Spring_2026,KIN,487,KIN 487,SUPERVISD ACTIVITY INSTRUC EXP,3,,02,9092,Spring_2026|KIN 487|02|9092,FALSE,\N,,SUP,TBA,NA,available,KIN-088,Campbell C,"Instructor Consent RequiredClass instruction is: Face to Face - On Campus.Supervision class, meeting times TBA"
Spring_2026,KIN,489A,KIN 489A,FIELDWRK ADAPTED PHYSICAL EDU,3,,02,6974,Spring_2026|KIN 489A|02|6974,FALSE,\N,"307,1",LEC,TuTh,4-5:15PM,,KIN-062,Creed K,Instructor Consent RequiredClass instruction is: Hybrid(Face to Face & Async).
Spring_2026,KIN,489A,KIN 489A,FIELDWRK ADAPTED PHYSICAL EDU,3,,02,\N,Spring_2026|KIN 489A|02|NOCLASS|9675630e18b0b12f,FALSE,\N,,,TuTh,4-5:15PM,,KIN-060,Staff,additional meeting detail
Spring_2026,KIN,489A,KIN 489A,FIELDWRK ADAPTED PHYSICAL EDU,3,,02,\N,Spring_2026|KIN 489A|02|NOCLASS|dc6f8aa2ea9068b8,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,KIN,489D,KIN 489D,FIELDWORK IN FITNESS,3,,01,4026,Spring_2026|KIN 489D|01|4026,FALSE,\N,,LEC,NA,NA,available,OFF-CAMP,Campbell C,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,KIN,494,KIN 494,EXERCISE SCIENCE INTERNSHIP,3,,02,3464,Spring_2026|KIN 494|02|3464,FALSE,\N,"1,13,15,21,24",SEM,Sa,12-2:45PM,available,OFF-CAMP,Schick E,Instructor Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,KIN,495,KIN 495,SUPERVISED LABORATORY METHODS,1,,01,5747,Spring_2026|KIN 495|01|5747,FALSE,\N,,SUP,TBA,NA,available,HHS2-103,Ede A,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,KIN,497,KIN 497,INDEPENDENT STUDY,1,,02,4588,Spring_2026|KIN 497|02|4588,FALSE,\N,,SUP,TBA,NA,available,HHS2-103,Kress J,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,02,11105,Spring_2026|KIN 526|02|11105,FALSE,\N,307,SEM,Tu,5:30-8:15PM,,KIN-062,Banes J,Class meets on 01/27/26.Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,02,\N,Spring_2026|KIN 526|02|NOCLASS|4b374b5582bdf2a0,FALSE,\N,,,Tu,5:30-8:15PM,,KIN-062,Ottone M,Class meets on 02/10/26.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,02,\N,Spring_2026|KIN 526|02|NOCLASS|90ae9c4156e2b65c,FALSE,\N,,,Tu,5:30-8:15PM,,KIN-062,Banes J,Class meets on 03/10/26.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,02,\N,Spring_2026|KIN 526|02|NOCLASS|373565659f5ceb1e,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Banes J,additional meeting detail
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,03,11236,Spring_2026|KIN 526|03|11236,FALSE,\N,309,SEM,Tu,5:30-8:15PM,available,ONLINE-ONLY,Banes J,Class meets on 01/27/26.Class instruction is: Online - Mixed Meet Times.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,03,\N,Spring_2026|KIN 526|03|NOCLASS|bc3473675e0555fd,FALSE,\N,,,Tu,5:30-8:15PM,,ONLINE-ONLY,Banes J,Class meets on 02/10/26.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,03,\N,Spring_2026|KIN 526|03|NOCLASS|63b57a5931b790f9,FALSE,\N,,,Tu,5:30-8:15PM,,ONLINE-ONLY,Ottone M,Class meets on 02/24/26.
Spring_2026,KIN,526,KIN 526,BEHAVIOR MANAGEMENT PHY EDUC,3,,03,\N,Spring_2026|KIN 526|03|NOCLASS|41385aab6852aa21,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Banes J,additional meeting detail
Spring_2026,KIN,552,KIN 552,EX TEST/TRAIN IN HLTH/DISEASE,3,,01,12350,Spring_2026|KIN 552|01|12350,FALSE,\N,310,SEM,Tu,4-6:45PM,available,HHS1-101,Escobar K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,568,KIN 568,NUTRITION EXERCISE PERFORMANCE,3,,01,12352,Spring_2026|KIN 568|01|12352,FALSE,\N,310,LEC,M,7-9:45PM,available,HHS1-205,Escobar K,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,575,KIN 575,PSYCHOLOGY OF COACHING,3,,02,10934,Spring_2026|KIN 575|02|10934,FALSE,\N,310,SEM,Tu,8-10:45AM,available,KIN-051A,Vargas T,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,577,KIN 577,SPORT IN U.S. CULTURE,3,,01,7661,Spring_2026|KIN 577|01|7661,FALSE,\N,,SEM,Th,8-10:45AM,available,KIN-051A,Heynen A,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,578,KIN 578,PSYCH ASPECTS EXERCISE FITNESS,3,,01,4045,Spring_2026|KIN 578|01|4045,FALSE,\N,,SEM,W,2-4:45PM,available,KIN-063,Watkins D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,579,KIN 579,PSYCH OF SPORT INJ,3,,02,10935,Spring_2026|KIN 579|02|10935,FALSE,\N,,SEM,Tu,1-3:45PM,available,KIN-058,Madrigal L,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,594,KIN 594,EXERCISE SCIENCE INTERNSHIP,3,,02,3465,Spring_2026|KIN 594|02|3465,FALSE,\N,"1,15,24",SEM,Sa,12-2:45PM,available,OFF-CAMP,Schick E,Department Consent RequiredClass instruction is: Face to Face - Off Campus.
Spring_2026,KIN,597,KIN 597,INDEPENDENT RESEARCH,1,,01,6514,Spring_2026|KIN 597|01|6514,FALSE,\N,310,SUP,TBA,NA,available,HHS2-103,Ede A,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,KIN,694,KIN 694,CAPSTONE IN KINESIOLOGY,3,,01,4217,Spring_2026|KIN 694|01|4217,FALSE,\N,305,SEM,NA,NA,available,ONLINE-ONLY,Fogaca J,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,KIN,696,KIN 696,RSRCH METHODS STATISTIC ANALYS,3,,01,7662,Spring_2026|KIN 696|01|7662,FALSE,\N,,SEM,M,1-3:45PM,available,HHS1-100,Wong Vickland D,Class instruction is: Face to Face - On Campus.
Spring_2026,KIN,696,KIN 696,RSRCH METHODS STATISTIC ANALYS,3,,02,11108,Spring_2026|KIN 696|02|11108,FALSE,\N,307,SEM,Tu,5:30-9:30PM,,KIN-063,Hill G,Class meets on 01/20/26.Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,KIN,696,KIN 696,RSRCH METHODS STATISTIC ANALYS,3,,02,\N,Spring_2026|KIN 696|02|NOCLASS|adc87e496940a025,FALSE,\N,,,Tu,5:30-9:30PM,,KIN-051B,Staff,Class meets on 02/03/26.
Spring_2026,KIN,696,KIN 696,RSRCH METHODS STATISTIC ANALYS,3,,02,\N,Spring_2026|KIN 696|02|NOCLASS|c0b556ab5199f579,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,KIN,697,KIN 697,DIRECTED STUDIES,1,,01,2256,Spring_2026|KIN 697|01|2256,FALSE,\N,"1,3,15,24",SUP,TBA,NA,available,HHS2-103,Ede A,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,KIN,698,KIN 698,THESIS/PROJECT,1,,01,2257,Spring_2026|KIN 698|01|2257,FALSE,\N,"1,3,8,15,24",SUP,TBA,NA,available,HHS2-103,Ede A,Department Consent RequiredClass instruction is: Face to Face - On Campus.
Spring_2026,KIN,218,KIN 218,PROF DEV IN FITNESS,2,,01,9808,Spring_2026|KIN 218|01|9808,FALSE,\N,"1,15,305",SEM,NA,NA,available,ONLINE-ONLY,Campbell C,Class instruction is: Asynch. Online-No Meet Times.
