term,subject_code,course_number,course_code_full,course_title,units,course_info,sec,class_number,section_uid,no_material_cost,reserve_capacity,class_notes_ref,type,days,time,open_seats,location,instructor,comment
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),03,4943,Spring_2026|CRJU 325|03|4943,FALSE,\N,,LEC,MW,11-12:50PM,,ET-109,Fischer R,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),04,5956,Spring_2026|CRJU 325|04|5956,FALSE,\N,,LEC,TuTh,2-3:50PM,,ET-109,Renner M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),05,12369,Spring_2026|CRJU 325|05|12369,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Land A,Class instruction is: Asynch. Online-No Meet Times.Seats reserved for CRJU graduating seniors
Spring_2026,CRJU,325,CRJU 325,STATISTICS FOR CRIM JUSTICE,4,GE: 2UD/5UD (UDB),07,12429,Spring_2026|CRJU 325|07|12429,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Land A,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,01,2604,Spring_2026|CRJU 330|01|2604,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Tolbert T,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,02,2605,Spring_2026|CRJU 330|02|2605,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,ET-009,Ku Mazzeo E,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,03,7425,Spring_2026|CRJU 330|03|7425,FALSE,\N,"305,278",LEC,NA,NA,,ONLINE-ONLY,Ireland C,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,04,6970,Spring_2026|CRJU 330|04|6970,FALSE,\N,"278,307",LEC,Tu,5-6:15PM,available,HSD-111,Carlisle C,Class instruction is: Hybrid(Face to Face & Async).
Spring_2026,CRJU,330,CRJU 330,"CRIM ETHICS, VALUES, DIVERSITY",3,,04,\N,Spring_2026|CRJU 330|04|NOCLASS|167602fdbef5a372,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Carlisle C,additional meeting detail
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,01,2589,Spring_2026|CRJU 340|01|2589,FALSE,\N,307,LEC,Tu,11-12:15PM,,ONLINE-ONLY,Binnall J,Class instruction is: Online - Mixed Meet Times.
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,01,\N,Spring_2026|CRJU 340|01|NOCLASS|f6d9f104f1e35194,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,02,4952,Spring_2026|CRJU 340|02|4952,FALSE,\N,307,LEC,Th,11-12:15PM,,ONLINE-ONLY,Binnall J,Class instruction is: Online - Mixed Meet Times.
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,02,\N,Spring_2026|CRJU 340|02|NOCLASS|c6f15625d34d3399,FALSE,\N,,,NA,NA,,ONLINE-ONLY,Staff,additional meeting detail
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,03,8041,Spring_2026|CRJU 340|03|8041,FALSE,\N,,LEC,MW,11-12:15PM,,HHS1-105,Choi A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,340,CRJU 340,SUBSTANTIVE CRIMINAL LAW,3,,04,8087,Spring_2026|CRJU 340|04|8087,FALSE,\N,,LEC,MW,9:30-10:45AM,available,HHS1-105,Choi A,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,01,2590,Spring_2026|CRJU 350|01|2590,FALSE,\N,278,LEC,MW,2-3:15PM,,HHS1-105,Barno M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,02,2591,Spring_2026|CRJU 350|02|2591,FALSE,\N,305,LEC,NA,NA,,ONLINE-ONLY,Bogardus K,Class instruction is: Asynch. Online-No Meet Times.
Spring_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,03,2819,Spring_2026|CRJU 350|03|2819,FALSE,\N,,LEC,TuTh,9:30-10:45AM,,HHS1-204,Barno M,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,04,7573,Spring_2026|CRJU 350|04|7573,FALSE,\N,,LEC,Tu,7-9:45PM,,ET-107,Bogardus K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,350,CRJU 350,CONSTITUTNL CRIMINAL PROCEDURE,3,,05,9557,Spring_2026|CRJU 350|05|9557,FALSE,\N,,LEC,W,7-9:45PM,,ET-107,Bogardus K,Class instruction is: Face to Face - On Campus.
Spring_2026,CRJU,401,CRJU 401,VICTIMOLOGY,3,,01,7427,Spring_2026|CRJU 401|01|7427,FALSE,\N,"279,305",LEC,NA,NA,,ONLINE-ONLY,Tolbert T,Class instruction is: Asynch. Online-No Meet Times.
